Date,SP500
11/13/20,3585.15
11/16/20,3626.91
11/17/20,3609.53
11/18/20,3567.79
11/19/20,3581.87
11/20/20,3557.54
11/23/20,3577.59
11/24/20,3635.41
11/25/20,3629.65
11/27/20,3638.35
11/30/20,3621.63
12/1/20,3662.45
12/2/20,3669.01
12/3/20,3666.72
12/4/20,3699.12
12/7/20,3691.96
12/8/20,3702.25
12/9/20,3672.82
12/10/20,3668.1
12/11/20,3663.46
12/14/20,3647.49
12/15/20,3694.62
12/16/20,3701.17
12/17/20,3722.48
12/18/20,3709.41
12/21/20,3694.92
12/22/20,3687.26
12/23/20,3690.01
12/24/20,3703.06
12/28/20,3735.36
12/29/20,3727.04
12/30/20,3732.04
12/31/20,3756.07
1/4/21,3700.65
1/5/21,3726.86
1/6/21,3748.14
1/7/21,3803.79
1/8/21,3824.68
1/11/21,3799.61
1/12/21,3801.19
1/13/21,3809.84
1/14/21,3795.54
1/15/21,3768.25
1/19/21,3798.91
1/20/21,3851.85
1/21/21,3853.07
1/22/21,3841.47
1/25/21,3855.36
1/26/21,3849.62
1/27/21,3750.77
1/28/21,3787.38
1/29/21,3714.24
2/1/21,3773.86
2/2/21,3826.31
2/3/21,3830.17
2/4/21,3871.74
2/5/21,3886.83
2/8/21,3915.59
2/9/21,3911.23
2/10/21,3909.88
2/11/21,3916.38
2/12/21,3934.83
2/16/21,3932.59
2/17/21,3931.33
2/18/21,3913.97
2/19/21,3906.71
2/22/21,3876.5
2/23/21,3881.37
2/24/21,3925.43
2/25/21,3829.34
2/26/21,3811.15
3/1/21,3901.82
3/2/21,3870.29
3/3/21,3819.72
3/4/21,3768.47
3/5/21,3841.94
3/8/21,3821.35
3/9/21,3875.44
3/10/21,3898.81
3/11/21,3939.34
3/12/21,3943.34
3/15/21,3968.94
3/16/21,3962.71
3/17/21,3974.12
3/18/21,3915.46
3/19/21,3913.1
3/22/21,3940.59
3/23/21,3910.52
3/24/21,3889.14
3/25/21,3909.52
3/26/21,3974.54
3/29/21,3971.09
3/30/21,3958.55
3/31/21,3972.89
4/1/21,4019.87
4/5/21,4077.91
4/6/21,4073.94
4/7/21,4079.95
4/8/21,4097.17
4/9/21,4128.8
4/12/21,4127.99
4/13/21,4141.59
4/14/21,4124.66
4/15/21,4170.42
4/16/21,4185.47
4/19/21,4163.26
4/20/21,4134.94
4/21/21,4173.42
4/22/21,4134.98
4/23/21,4180.17
4/26/21,4187.62
4/27/21,4186.72
4/28/21,4183.18
4/29/21,4211.47
4/30/21,4181.17
5/3/21,4192.66
5/4/21,4164.66
5/5/21,4167.59
5/6/21,4201.62
5/7/21,4232.6
5/10/21,4188.43
5/11/21,4152.1
5/12/21,4063.04
5/13/21,4112.5
5/14/21,4173.85
5/17/21,4163.29
5/18/21,4127.83
5/19/21,4115.68
5/20/21,4159.12
5/21/21,4155.86
5/24/21,4197.05
5/25/21,4188.13
5/26/21,4195.99
5/27/21,4200.88
5/28/21,4204.11
6/1/21,4202.04
6/2/21,4208.12
6/3/21,4192.85
6/4/21,4229.89
6/7/21,4226.52
6/8/21,4227.26
6/9/21,4219.55
6/10/21,4239.18
6/11/21,4247.44
6/14/21,4255.15
6/15/21,4246.59
6/16/21,4223.7
6/17/21,4221.86
6/18/21,4166.45
6/21/21,4224.79
6/22/21,4246.44
6/23/21,4241.84
6/24/21,4266.49
6/25/21,4280.7
6/28/21,4290.61
6/29/21,4291.8
6/30/21,4297.5
7/1/21,4319.94
7/2/21,4352.34
7/6/21,4343.54
7/7/21,4358.13
