Date,UNP,CSX,NSC,NEE,SO,DUK,AEP,ED,EXC,XEL,CNP,ENB,KMI,ET,OKE,TRGP,PAA,JPM,BAC,C,WFC,GS,MS,PNC,BLK,BX,V,MA,LMT,RTX,NOC,GD,LHX,HII,BWXT
11/15/23,$218.08 ,$30.99 ,$207.01 ,$57.00 ,$68.77 ,$89.61 ,$76.53 ,$90.55 ,$39.67 ,$60.09 ,$27.43 ,$33.40 ,$16.92 ,$13.36 ,$66.12 ,$86.27 ,$15.28 ,$149.74 ,$29.62 ,$44.88 ,$42.84 ,$337.60 ,$79.68 ,$128.96 ,$708.84 ,$104.28 ,$248.11 ,$396.83 ,$445.14 ,$80.63 ,$464.99 ,$245.76 ,$187.44 ,$234.90 ,$76.39 
11/16/23,$219.36 ,$31.33 ,$208.34 ,$56.60 ,$70.27 ,$90.18 ,$77.38 ,$91.13 ,$39.48 ,$60.70 ,$27.66 ,$32.90 ,$16.82 ,$13.18 ,$65.52 ,$83.85 ,$15.54 ,$151.45 ,$29.54 ,$44.67 ,$42.53 ,$336.67 ,$79.66 ,$129.34 ,$714.90 ,$103.70 ,$248.57 ,$397.10 ,$445.59 ,$80.23 ,$463.88 ,$245.26 ,$186.26 ,$234.57 ,$77.01 
11/17/23,$219.21 ,$31.62 ,$211.04 ,$57.37 ,$69.77 ,$90.01 ,$77.39 ,$91.36 ,$38.95 ,$60.56 ,$27.80 ,$33.68 ,$16.96 ,$13.52 ,$66.63 ,$86.02 ,$15.53 ,$152.82 ,$29.98 ,$45.36 ,$42.96 ,$339.19 ,$80.28 ,$130.26 ,$716.86 ,$104.96 ,$249.56 ,$400.30 ,$444.68 ,$79.68 ,$464.17 ,$244.69 ,$185.69 ,$236.75 ,$77.34 
11/20/23,$221.10 ,$32.06 ,$212.12 ,$57.34 ,$69.44 ,$89.30 ,$77.19 ,$90.94 ,$39.08 ,$60.06 ,$27.59 ,$33.68 ,$16.94 ,$13.56 ,$66.89 ,$86.88 ,$15.56 ,$153.29 ,$30.01 ,$45.26 ,$42.79 ,$339.45 ,$79.70 ,$130.34 ,$720.92 ,$106.45 ,$249.97 ,$404.40 ,$443.81 ,$79.17 ,$465.82 ,$245.78 ,$186.48 ,$239.56 ,$78.24 
11/21/23,$222.00 ,$32.25 ,$213.10 ,$57.98 ,$69.65 ,$89.88 ,$78.04 ,$90.49 ,$38.88 ,$60.02 ,$27.50 ,$33.86 ,$17.12 ,$13.70 ,$66.91 ,$87.56 ,$15.57 ,$152.97 ,$29.66 ,$45.09 ,$42.60 ,$334.97 ,$78.47 ,$127.97 ,$724.64 ,$105.78 ,$252.23 ,$408.95 ,$448.15 ,$78.15 ,$471.07 ,$246.41 ,$188.56 ,$239.28 ,$77.86 
11/22/23,$223.49 ,$32.55 ,$213.91 ,$57.47 ,$69.59 ,$90.36 ,$78.25 ,$90.52 ,$38.86 ,$60.43 ,$27.79 ,$33.93 ,$17.29 ,$13.74 ,$66.66 ,$87.22 ,$15.60 ,$153.33 ,$29.63 ,$45.02 ,$42.78 ,$338.64 ,$78.49 ,$127.95 ,$727.14 ,$106.78 ,$253.72 ,$410.33 ,$450.40 ,$79.82 ,$471.45 ,$247.33 ,$187.83 ,$238.08 ,$78.36 
11/24/23,$224.28 ,$32.64 ,$215.86 ,$57.55 ,$69.61 ,$90.74 ,$78.50 ,$90.96 ,$39.19 ,$60.52 ,$27.93 ,$34.23 ,$17.35 ,$13.72 ,$67.32 ,$87.84 ,$15.44 ,$153.54 ,$29.73 ,$45.23 ,$42.92 ,$339.15 ,$78.65 ,$128.70 ,$730.10 ,$107.00 ,$254.30 ,$412.50 ,$452.01 ,$79.98 ,$471.52 ,$247.83 ,$191.01 ,$238.34 ,$78.82 
11/27/23,$219.85 ,$31.94 ,$211.88 ,$57.58 ,$70.26 ,$90.93 ,$78.54 ,$90.67 ,$39.14 ,$60.45 ,$27.95 ,$33.94 ,$17.31 ,$13.67 ,$67.21 ,$87.97 ,$15.42 ,$153.19 ,$29.56 ,$45.08 ,$43.02 ,$337.71 ,$77.95 ,$128.85 ,$730.68 ,$106.75 ,$254.14 ,$408.97 ,$445.49 ,$79.47 ,$468.39 ,$246.36 ,$187.92 ,$236.45 ,$78.10 
11/28/23,$221.23 ,$32.05 ,$212.40 ,$58.16 ,$70.49 ,$91.13 ,$79.73 ,$90.80 ,$39.16 ,$60.97 ,$28.15 ,$34.15 ,$17.29 ,$13.67 ,$66.99 ,$87.50 ,$15.59 ,$153.54 ,$29.53 ,$44.86 ,$43.37 ,$337.65 ,$76.88 ,$129.59 ,$736.76 ,$107.64 ,$252.94 ,$409.01 ,$448.27 ,$80.19 ,$470.08 ,$245.22 ,$189.10 ,$236.68 ,$77.19 
11/29/23,$221.47 ,$31.73 ,$215.08 ,$58.36 ,$70.23 ,$90.71 ,$79.22 ,$89.94 ,$38.39 ,$60.00 ,$27.89 ,$34.51 ,$17.32 ,$13.68 ,$67.39 ,$88.01 ,$15.88 ,$154.32 ,$30.31 ,$45.75 ,$43.78 ,$340.26 ,$78.55 ,$132.38 ,$747.30 ,$111.37 ,$254.23 ,$409.82 ,$445.01 ,$80.95 ,$467.41 ,$244.83 ,$188.66 ,$233.75 ,$76.71 
