Date,UNP,CSX,NSC,NEE,SO,DUK,AEP,ED,EXC,XEL,CNP,ENB,KMI,ET,OKE,TRGP,PAA,JPM,BAC,C,WFC,GS,MS,PNC,BLK,BX,V,MA,LMT,RTX,NOC,GD,LHX,HII,BWXT
11/13/20, 203.44 , 30.20 , 239.26 , 77.19 , 63.90 , 94.98 , 89.87 , 81.63 , 30.58 , 74.08 , 24.25 , 28.43 , 13.13 , 5.36 , 31.66 , 20.53 , 7.66 , 114.08 , 27.00 , 48.66 , 24.07 , 219.08 , 56.61 , 122.78 , 669.77 , 56.16 , 210.48 , 335.03 , 375.14 , 66.15 , 311.71 , 151.15 , 194.30 , 164.01 , 56.37 
11/16/20, 206.71 , 31.00 , 246.77 , 77.75 , 64.12 , 95.01 , 89.21 , 82.71 , 30.90 , 74.71 , 25.09 , 28.99 , 13.67 , 5.44 , 32.35 , 21.58 , 8.16 , 117.30 , 27.58 , 50.40 , 24.90 , 222.38 , 58.11 , 126.29 , 676.43 , 57.09 , 212.70 , 335.45 , 377.13 , 68.66 , 312.73 , 152.93 , 200.00 , 163.26 , 56.53 
11/17/20, 205.85 , 30.83 , 245.64 , 76.61 , 62.36 , 92.92 , 86.73 , 79.25 , 30.71 , 72.63 , 25.17 , 29.68 , 14.03 , 5.63 , 33.31 , 22.65 , 8.36 , 116.11 , 27.55 , 50.73 , 25.04 , 224.65 , 58.81 , 126.89 , 667.49 , 57.69 , 210.71 , 336.50 , 375.90 , 68.87 , 312.63 , 151.47 , 198.43 , 162.82 , 56.67 
11/18/20, 204.03 , 30.44 , 241.87 , 75.79 , 61.78 , 91.53 , 84.13 , 77.69 , 30.45 , 70.50 , 23.75 , 29.08 , 13.76 , 5.65 , 32.31 , 22.68 , 8.19 , 115.25 , 26.98 , 51.05 , 25.06 , 224.30 , 58.81 , 129.30 , 669.89 , 57.81 , 207.83 , 335.94 , 377.56 , 69.51 , 310.60 , 153.50 , 196.35 , 163.02 , 56.96 
11/19/20, 204.55 , 30.57 , 242.10 , 75.13 , 61.07 , 91.70 , 82.45 , 77.10 , 30.20 , 69.35 , 23.43 , 29.14 , 14.40 , 6.12 , 33.30 , 23.24 , 8.26 , 115.56 , 26.98 , 52.14 , 26.16 , 224.57 , 58.63 , 130.30 , 673.48 , 58.64 , 207.57 , 333.88 , 376.46 , 71.11 , 309.48 , 149.99 , 195.76 , 162.21 , 57.01 
11/20/20, 203.39 , 30.51 , 240.80 , 75.55 , 60.88 , 92.58 , 82.49 , 77.39 , 29.86 , 69.31 , 23.46 , 29.25 , 14.25 , 6.08 , 32.96 , 23.08 , 7.93 , 114.57 , 26.81 , 51.65 , 25.48 , 223.35 , 57.81 , 128.90 , 672.71 , 58.65 , 203.88 , 323.00 , 368.02 , 69.76 , 306.42 , 148.36 , 191.50 , 158.74 , 55.89 
11/23/20, 207.39 , 30.69 , 242.85 , 74.57 , 60.45 , 93.33 , 83.41 , 77.57 , 29.64 , 68.36 , 23.98 , 29.94 , 14.62 , 6.43 , 35.18 , 24.76 , 8.51 , 117.87 , 27.39 , 53.30 , 26.30 , 228.83 , 60.27 , 133.65 , 682.87 , 59.11 , 208.16 , 332.04 , 370.85 , 72.64 , 306.49 , 150.02 , 194.10 , 165.11 , 57.05 
11/24/20, 208.70 , 30.97 , 242.52 , 74.98 , 61.19 , 96.26 , 84.82 , 78.38 , 30.48 , 68.14 , 24.36 , 31.32 , 14.97 , 6.71 , 37.66 , 25.20 , 8.66 , 123.32 , 28.98 , 57.06 , 28.61 , 237.50 , 63.60 , 140.11 , 699.30 , 59.83 , 209.68 , 342.39 , 378.48 , 74.36 , 309.98 , 153.67 , 195.83 , 170.87 , 58.64 
11/25/20, 207.24 , 30.75 , 241.46 , 75.97 , 60.89 , 96.15 , 85.37 , 78.66 , 30.11 , 68.11 , 24.51 , 31.82 , 14.85 , 6.49 , 37.54 , 24.98 , 8.63 , 122.03 , 29.03 , 57.06 , 28.59 , 236.54 , 63.48 , 140.65 , 703.61 , 60.48 , 210.89 , 341.32 , 378.34 , 73.81 , 312.26 , 152.04 , 194.98 , 165.53 , 58.11 
11/27/20, 205.64 , 30.43 , 242.72 , 75.13 , 60.65 , 94.60 , 84.92 , 77.77 , 29.76 , 67.62 , 24.07 , 31.86 , 14.75 , 6.36 , 37.23 , 24.50 , 8.28 , 121.22 , 28.99 , 56.67 , 28.46 , 235.40 , 63.84 , 139.79 , 715.11 , 60.53 , 211.00 , 339.07 , 374.34 , 73.91 , 306.03 , 152.06 , 194.47 , 164.53 , 57.56 
11/30/20, 204.08 , 30.02 , 237.02 , 73.59 , 59.85 , 92.66 , 84.89 , 76.25 , 29.29 , 67.36 , 23.19 , 31.21 , 14.38 , 6.18 , 35.87 , 23.50 , 7.94 , 117.88 , 28.16 , 55.07 , 27.35 , 230.58 , 61.83 , 138.07 , 698.35 , 59.55 , 210.35 , 336.51 , 365.00 , 71.72 , 302.26 , 149.35 , 191.99 , 160.19 , 56.88 
12/1/20, 202.40 , 30.21 , 238.75 , 74.15 , 60.57 , 93.26 , 85.21 , 76.91 , 29.41 , 68.41 , 22.83 , 31.34 , 14.10 , 6.17 , 36.47 , 23.61 , 8.10 , 119.74 , 28.69 , 55.47 , 28.06 , 232.08 , 63.28 , 140.72 , 715.23 , 60.42 , 211.20 , 338.88 , 364.99 , 71.23 , 301.10 , 151.76 , 191.84 , 164.42 , 56.94 
12/2/20, 203.56 , 30.23 , 239.67 , 74.31 , 61.88 , 93.87 , 85.87 , 77.03 , 29.64 , 68.68 , 22.93 , 32.17 , 14.34 , 6.33 , 37.47 , 24.17 , 8.30 , 122.04 , 29.06 , 57.20 , 28.87 , 237.65 , 64.02 , 141.38 , 718.36 , 61.60 , 210.18 , 340.22 , 361.36 , 71.94 , 298.77 , 153.35 , 191.54 , 163.17 , 56.71 
